G,T,M,P,Y_star,r_star
88.12061,90.90894,2.2344558,1.4650698,90.44679,43.69826
149.24036,81.7164,1.7234912,0.95663583,138.43837,67.41758
267.57297,149.06851,2.8942826,1.4147198,194.44537,95.17686
239.08073,140.6412,2.4398308,1.2219115,177.63535,86.82094
95.901375,129.0427,1.0199654,0.60169244,79.90433,38.25701
74.76437,102.80411,2.8642373,0.6493416,79.93135,35.554684
89.579544,83.811356,1.5264307,1.5103987,93.79568,45.887226
51.64029,112.753525,1.4653633,1.0310178,54.8791,26.018267
78.54513,65.45352,2.1237845,1.0716149,95.16908,45.602688
144.08783,78.6748,2.9918885,0.79780763,138.84517,65.67244
259.35965,89.955734,2.1271613,1.5807619,212.91248,105.1106
195.92278,88.252266,0.5439206,0.87152874,167.29968,83.025764
79.92432,52.634888,1.3509686,1.0104811,100.72664,49.026363
74.72201,119.87655,2.9139833,1.6512723,68.80388,32.63726
237.1844,141.1741,1.3094339,1.9709961,174.14902,86.410164
82.01984,72.421326,1.1486315,1.9186211,92.688866,45.74575
159.60907,113.47832,0.7536415,1.5452394,130.35538,64.689964
234.96326,94.20129,1.0599834,1.2766421,192.93076,95.635086
117.14849,98.17638,1.0665685,1.8136857,106.727715,52.775787
161.37001,102.914505,2.0485337,1.9131083,136.9735,67.415955
164.11945,143.32913,2.2494068,1.5867068,122.11235,59.63851
145.42708,106.699524,2.9429688,1.4704697,125.292946,60.645092
111.62098,68.36615,2.5703356,1.430851,117.281456,56.844353
63.570206,82.01432,1.76847,1.3263183,76.44882,36.89104
73.955376,124.42636,2.42412,1.745029,65.76991,31.495794
108.06729,115.60272,2.464484,1.4621581,94.34049,45.48473
295.72974,100.97179,0.67184377,0.6176437,233.80153,115.81303
114.62316,93.40115,2.380744,0.8069674,110.34496,52.222237
91.059006,80.54616,0.8949158,0.56890523,97.05528,46.954597
205.29927,82.25364,2.715271,1.0245957,179.46236,87.08107
209.4513,73.6257,1.2063209,1.2883328,183.67755,90.90243
243.48872,108.193085,2.0093598,0.9320226,194.91763,95.30291
270.01505,114.04211,1.7366996,0.5602435,212.70686,103.25352
244.60927,138.28726,2.3299294,0.7622286,184.10744,88.99696
51.062378,88.70433,1.9444253,1.5691934,64.51287,31.017317
186.08607,103.57944,0.8432563,1.1971686,153.81943,76.20532
250.71913,132.31448,2.2563634,1.124262,189.53166,92.75889
163.44681,121.749535,2.4873705,1.3714259,131.44608,63.909332
101.3401,106.424385,1.0990446,1.0915754,92.49939,45.24286
294.16748,115.36393,0.93911666,0.84127015,226.55838,112.16289
128.24652,102.59532,0.8988321,0.9058334,113.33847,55.67697
103.83194,57.110413,1.1418059,0.94429994,115.70286,56.642273
62.30562,101.92755,1.5924051,0.5479797,69.25786,31.722971
180.58354,89.07105,1.8434631,0.55833054,159.81738,76.60697
230.39163,145.12059,1.7411835,0.9658377,169.23203,82.81323
202.67035,145.13138,1.4193885,1.5314455,148.17508,73.16074
199.71872,109.919525,2.5256977,1.9834685,161.65268,79.55296
80.20157,144.69016,1.8160592,1.2297006,61.672237,29.35929
58.264095,74.249054,1.0241842,1.7621738,74.9122,36.87489
177.20117,143.45868,1.4191875,1.4979914,130.7291,64.41716
288.97925,143.04926,1.0150814,0.65266615,211.61449,104.251945
247.11517,98.08895,1.3090167,0.8747847,200.89615,98.951675
102.22072,59.874527,0.5708692,1.0442141,112.420975,55.663807
158.77393,83.86519,1.9684129,0.6318413,146.20395,69.98661
82.85205,86.62863,0.781454,1.3550394,87.16306,43.00482
114.697075,100.8259,2.2334569,1.4281496,105.23523,51.053722
197.6373,54.66744,2.6062996,0.66534877,187.6223,89.89396
243.0673,109.26627,0.82009053,1.092148,192.1495,95.32387
278.54614,79.205414,1.0903357,0.58845353,231.94904,114.121635
60.23674,87.19794,0.7623293,1.9968625,70.48679,34.86163
258.5769,74.175385,2.0835881,1.6936007,218.9516,108.24551
86.838486,89.4433,1.9918687,0.9670832,90.92274,43.401703
221.80841,53.563744,1.1048155,1.8947629,200.59741,99.7156
280.78064,73.49161,2.505101,0.7805682,237.93163,115.75651
176.7553,104.60625,2.2686834,1.880967,147.43129,72.509514
288.72614,132.7638,0.6205769,0.9613689,214.54204,106.62553
68.49356,145.4374,1.6820064,1.4691346,52.514942,25.112574
127.2551,62.177223,1.2118883,1.7711737,129.51233,64.071915
247.90662,120.996056,1.5332623,1.5991801,190.87611,94.47927
147.76651,71.81521,2.4460058,1.4317479,141.49585,69.03952
149.41248,61.342148,1.6155497,1.163515,146.70299,71.96299
122.90104,97.79823,0.8818579,1.2555212,111.16203,54.87864
261.16327,71.317665,2.6292932,1.8903918,222.25314,109.73571
236.3129,56.937683,0.60744286,1.0048975,209.54231,104.16667
215.05626,53.27318,1.3207088,1.0066614,196.94023,97.15813
104.75454,66.53258,2.2316418,1.3458428,112.965256,54.824444
73.5313,141.08679,2.8548613,0.88609684,60.94494,27.250626
188.52008,127.8854,2.9631782,0.96644366,148.51501,71.19142
212.03485,80.20764,1.4563496,1.3086059,182.95436,90.36426
117.28601,66.533966,2.1671207,1.8140569,121.25349,59.432117
140.0253,61.53791,0.6522107,1.4945362,138.55385,68.84051
259.42096,70.47392,1.5067747,0.7865697,222.11986,109.144325
184.95746,79.42509,1.3611794,1.7028687,163.50078,80.95104
180.63979,130.02946,2.1048422,0.9737888,140.67508,68.17603
144.23743,116.36282,0.9309969,1.4434185,118.36408,58.537052
61.80129,80.73139,2.020059,1.2941663,76.06018,36.46919
57.46782,134.42157,2.3957937,1.7856398,49.641617,23.479113
115.248116,68.93834,2.724184,1.0824817,120.65595,57.81136
111.45982,59.265602,1.5386406,0.945259,120.82567,58.78509
213.9442,110.912506,2.8920078,1.1005936,173.3229,84.03377
138.61115,72.429955,0.5689925,1.2568164,132.89902,65.99678
126.09724,114.22392,1.3957822,0.8960638,107.62731,52.255978
294.1787,142.36179,2.2238936,1.7654839,215.20065,106.34068
218.54036,76.35473,2.070533,0.847896,191.151,93.13355
264.1128,65.109406,2.3386722,1.3686469,227.47475,112.028625
114.48591,118.82001,0.92053103,0.67417026,97.08912,47.17913
123.94165,54.842644,2.5196655,1.156873,132.4229,64.033455
220.94257,144.60889,0.5768442,1.0883977,160.88374,79.911865
91.71561,76.38719,0.8929022,0.949955,98.40225,48.261192
93.286995,124.17299,1.6649897,1.6420696,79.15081,38.561436
168.96254,60.241413,0.5356163,0.58031714,160.47404,79.31403
129.2799,66.156586,0.5618389,1.328665,128.87978,64.01702
81.292755,105.50774,0.64033437,1.1798395,77.9097,38.412117
249.14487,117.77024,2.754986,0.85994726,196.35005,94.97135
275.52036,138.76976,2.0241938,1.8332492,203.19057,100.49113
